NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;--;;;0.0000;0.0000;114;0.0000;8626;21;0.7712;40;42;0;68;46;64;2;8542;16;799;766
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;Si;;;217.4097;127.0576;90;8963.2097;5695;654;2.2136;49;1;15;75;15;76;15;3662;449;63;77
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;No;70.6995;0.867545;81.4937;35.5090;2749;1582.2112;87631;34859;2.8022;278;43;34;1432;1317;1525;1321;71484;30078;47493;56150
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;No;72.4117;0.867785;83.4442;35.9869;2786;1565.8065;86716;34504;2.8641;281;48;36;1454;1332;1532;1345;70675;29776;48206;54912
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;--;;;0.0000;0.0000;121;0.0000;8351;21;0.8326;40;42;0;72;49;67;2;8271;16;799;760
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;215.9979;129.8811;92;8963.2097;5652;697;2.2357;46;1;18;76;16;76;16;3638;477;60;77
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;132;0.0000;8698;26;0.9026;49;43;0;82;50;76;2;8621;21;803;876
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;208.9392;98.8225;70;9107.2084;5749;702;1.7766;38;0;16;54;16;57;16;3626;483;62;96
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.7011;0.875101;86.5055;38.0665;2947;1557.7334;86893;33702;3.0808;282;58;43;1552;1395;1659;1411;70620;29028;50847;63191
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;134;0.0000;8648;25;0.8966;50;44;0;80;54;75;2;8567;21;841;942
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;194.8216;80.4698;57;8854.5048;5586;686;1.5553;36;0;12;44;13;48;13;3465;457;64;97
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.6891;0.884418;88.9727;39.3453;3046;1591.8344;90451;32784;3.1569;286;62;52;1575;1471;1722;1477;73084;28248;55414;68043
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;No;82.6765;0.897821;92.0857;41.2054;3190;1617.6814;92536;32700;3.2492;296;59;52;1630;1560;1772;1565;74572;28130;58741;74359
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;145;0.0000;8802;26;0.9719;47;6;1;91;54;83;2;8722;24;853;961
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;Si;;;213.1744;84.7050;60;9105.7966;5756;694;1.7461;36;0;13;43;17;53;17;3543;466;69;91
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;--;;;0.0000;0.0000;146;0.0000;8744;30;0.9207;42;5;1;91;55;78;2;8661;28;875;1033
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;Si;;;225.8802;84.7050;60;9578.7333;6124;661;1.5080;33;0;11;40;20;44;20;3794;450;62;101
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;No;86.6554;0.90804;95.4312;43.2592;3349;1625.4834;92864;32976;3.3660;317;63;60;1703;1646;1794;1668;74603;28249;63872;81746
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;No;91.0563;0.915375;99.4743;44.9513;3480;1621.1303;92365;33138;3.5405;336;71;68;1730;1750;1857;1772;74066;28435;65516;98651
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;--;;;0.0000;0.0000;154;0.0000;8711;30;0.9478;34;5;2;96;58;80;2;8623;29;881;1075
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;Si;;;225.8802;87.5285;62;10583.9003;6845;652;1.4082;31;0;11;41;21;45;21;4233;454;66;112
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;--;;;0.0000;0.0000;154;0.0000;8762;29;0.9772;35;4;3;99;55;83;2;8670;28;880;1129
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;Si;;;228.7037;90.3520;64;10517.5480;6786;664;1.4836;34;0;9;41;23;46;23;4191;460;66;112
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;No;93.3107;0.92082;101.3343;45.9847;3560;1621.0916;92131;33369;3.5987;345;76;71;1730;1830;1860;1828;73842;28639;65596;99443
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;No;95.5424;0.918833;103.9823;47.4572;3674;1640.0926;92643;34328;3.6643;358;84;72;1789;1885;1919;1881;74241;29463;66211;109353
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;--;;;0.0000;0.0000;161;0.0000;9189;33;0.9753;34;5;3;102;59;87;2;9094;31;908;1164
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;Si;;;237.1742;86.1168;61;10530.2538;6829;630;1.4066;31;0;7;39;22;44;22;4250;442;66;111
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;No;96.8909;0.89287;108.5162;48.4389;3750;1647.1453;91675;35842;3.6894;394;89;74;1728;2022;1814;2028;73320;30815;64129;119366
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;--;;;0.0000;0.0000;163;0.0000;9129;32;0.9719;30;5;3;101;62;86;2;9025;29;922;1295
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;Si;;;247.0564;110.1166;78;11087.8956;7027;827;1.6623;34;0;7;54;24;58;24;4367;566;70;116
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;--;;;0.0000;0.0000;173;0.0000;9251;34;1.0899;28;5;3;111;62;97;3;9145;30;936;1362
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;Si;;;268.2327;114.3518;81;12294.9431;7866;843;1.5522;35;0;9;50;31;54;31;4916;560;86;132
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;No;98.195;0.860436;114.1222;49.6273;3842;1677.7716;92465;37423;3.6876;424;90;71;1744;2098;1805;2108;73951;32162;63872;133007
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;No;99.0621;0.828821;119.5215;50.8803;3939;1699.9502;93220;38385;3.7116;433;104;75;1779;2160;1842;2147;74349;33124;62643;148575
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;--;;;0.0000;0.0000;165;0.0000;9146;33;1.1023;30;5;2;108;57;97;3;9043;29;919;1437
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;Si;;;266.8210;128.4693;91;13151.8762;8476;840;1.5763;34;0;11;68;23;70;23;5349;551;78;137
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;--;;;0.0000;0.0000;178;0.0000;9054;30;1.2263;27;6;2;116;62;108;2;8944;26;918;1416
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;Si;;;286.5855;141.1751;100;13566.9311;8629;981;1.8809;39;1;14;73;27;87;27;5448;613;81;128
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;No;101.01;0.804348;125.5797;52.1720;4039;1727.4636;92597;41138;3.7744;450;104;74;1774;2265;1882;2249;73839;35610;60312;169270
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;--;;;0.0000;0.0000;191;0.0000;9115;33;1.3057;31;5;1;121;70;115;3;9008;29;897;1317
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;Si;;;289.4090;138.3516;98;13336.8156;8369;1078;1.8587;40;1;17;70;28;83;28;5318;654;81;116
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;No;106.073;0.790132;134.2470;54.5229;4221;1768.8369;93017;43921;3.8565;452;107;66;1777;2444;1895;2424;73998;37996;60434;165327
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;No;107.394;0.78184;137.3600;55.3496;4285;1791.4160;93166;45520;3.8821;454;110;64;1813;2472;1941;2469;74123;39475;60487;168584
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;--;;;0.0000;0.0000;194;0.0000;9105;33;1.3286;32;5;0;123;71;117;3;9004;28;899;1222
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;Si;;;292.2325;138.3516;98;13453.9910;8376;1154;1.8411;38;1;18;71;27;84;27;5317;712;81;118
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;--;;;0.0000;0.0000;199;0.0000;9022;35;1.3292;33;5;0;121;78;115;4;8922;31;891;1174
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;Si;;;341.6438;151.0574;107;13733.5178;8497;1231;1.8660;42;1;20;80;27;88;27;5406;757;82;121
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;No;110.008;0.775564;141.8422;56.5250;4376;1802.2275;92238;47285;3.9411;482;102;67;1831;2545;1969;2542;73339;41122;59921;168542
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;No;116.733;0.772205;151.1684;60.0772;4651;1823.8249;91505;49690;4.1580;495;97;65;1953;2698;2117;2705;72647;43323;60506;179505
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;--;;;0.0000;0.0000;225;0.0000;8952;36;1.5082;31;4;0;137;88;130;4;8852;33;938;1089
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;Si;;;351.5261;136.9398;97;14236.1013;8877;1207;1.6337;38;1;19;70;27;78;27;5685;742;79;130
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;--;;;0.0000;0.0000;243;0.0000;9217;38;1.5529;37;3;0;148;95;138;4;9108;36;989;1052
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;Si;;;375.5258;153.8809;109;14260.1010;8762;1339;1.8264;37;1;19;86;23;94;23;5569;837;72;129
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;No;124.397;0.773281;160.8691;64.4949;4993;1819.5364;89170;51693;4.4701;506;104;69;2078;2915;2261;2916;70694;45119;58892;189611
